komoditas,best_MAPE_univariate,best_window_univariate,best_units_univariate,best_MAPE_multivariate,best_window_multivariate,best_units_multivariate,selisih_multi_minus_uni,persen_perbaikan_multi
Beras,0.1493938171953152,7,64,1.3248699195498803,14,64,1.175476102354565,-786.8304889872153
Daging Ayam,0.4008160592402935,30,64,0.7673359626706963,7,32,0.36651990343040275,-91.44341774256858
Daging Sapi,0.1048129185714359,30,32,0.4715946368953522,30,64,0.36678171832391626,-349.9394190363413
Telur Ayam,0.4477796198166558,14,64,1.1421448333636586,7,64,0.6943652135470028,-155.0685164794485
Bawang Merah,1.150714178711629,14,64,1.6562592336846174,14,64,0.5055450549729883,-43.93315597614434
Cabai Merah,1.3482202178968965,30,32,4.263597705025933,14,32,2.915377487129036,-216.23896811729804
Cabai Rawit,2.562763036679005,30,64,4.903611251718386,30,32,2.3408482150393812,-91.34079825315432
Minyak Goreng,0.1464133083480904,14,64,0.323357312740542,14,64,0.17694400439245161,-120.85240500936976
Gula Pasir,0.2888850250263405,7,32,0.2584100357045206,7,64,-0.030474989321819912,10.549175859510616
