komoditas,W7-U32,W7-U64,W14-U32,W14-U64,W30-U32,W30-U64
Beras,3.1667912670919742,3.325811297473072,2.677390127876345,1.3248699195498803,3.037514298888212,2.1492655273433257
Daging Ayam,0.7673359626706963,0.805586338740461,1.0369186868737204,1.0059916173296646,1.854832703499016,2.2914454375445046
Daging Sapi,1.0474949686133666,0.6949757996788248,0.8408027694622172,0.648318091438025,1.000673591772426,0.4715946368953522
Telur Ayam,1.1863190777841208,1.1421448333636586,1.1843124885063132,2.3083216478127357,2.3824936708498528,2.980673728574029
Bawang Merah,2.3931611297367823,4.352353096845193,2.4469745895702038,1.6562592336846174,3.733621709954609,2.3458274722947
Cabai Merah,7.482336866530166,5.215144084632554,4.263597705025933,5.615257298927196,5.512164246768935,7.022622616185307
Cabai Rawit,7.358238175955773,6.075997229479137,8.322640119245555,5.931594765485522,4.903611251718386,5.814700537627243
Minyak Goreng,0.3719257869892123,0.8756404945372184,0.5940121964830222,0.323357312740542,0.427980483465948,0.4203489812430997
Gula Pasir,0.5677000438214743,0.2584100357045206,1.1712718037286112,1.982495992455898,0.8390137478761548,1.3164901638578377
