mode,komoditas,window,units,epochs,batch_size,test_MAE,test_RMSE,test_MAPE,forecast_MAPE_Okt2025
multivariate,Gula Pasir,7,64,150,32,37.97075240108991,56.34941995816024,0.2584100357045206,1.838006460156587
multivariate,Minyak Goreng,14,64,150,32,43.54595397659953,78.91366981463474,0.323357312740542,1.0896965827133227
multivariate,Daging Sapi,30,64,150,32,571.5502003205173,650.4413849790097,0.4715946368953522,3.019321960663801
multivariate,Daging Ayam,7,32,150,32,240.62071745986333,447.7447263447839,0.7673359626706963,1.406449655377186
multivariate,Telur Ayam,7,64,150,32,269.3605128297015,402.6288140583336,1.1421448333636586,5.740996830796414
multivariate,Beras,14,64,150,32,172.039803021327,196.5165736373681,1.3248699195498803,8.44071598519736
multivariate,Bawang Merah,14,64,150,32,451.3460918986965,1193.5433773529355,1.6562592336846174,15.201996757257074
multivariate,Cabai Merah,14,32,150,32,971.6454707864342,1720.9385630250156,4.263597705025933,14.619272655647311
multivariate,Cabai Rawit,30,32,150,32,1231.779982972756,2533.389884390612,4.903611251718386,25.384322171132258
